codigo,descripcion,barrio,alturaini,alturafin
02614,0 (COLECTORA),,505300,506499
02372,AVENIDA ELIAS ANTUNEZ,,0,3299
02687,128 - BATAN,,1500,2049
02636,12 BIS - LA TRINIDAD,,1700,2699
03350,12 - GLORIA DE LA PELEGRINA,,0,699
02644,13 BIS-LA TRINIDAD,,900,1699
02643,13-LA TRINIDAD,,400,1699
03351,14 - GLORIA DE LA PELEGRINA,,0,699
02634,16-LA TRINIDAD,,800,1699
05072,173 BIS,,7400,7499
05071,175 BIS,,7500,7599
05070,177 BIS,,7648,7699
05069,179 BIS,,7750,7799
05067,183 BIS,,7900,7999
03307,1 - ARROYO SECO,,400,699
02666,1 - CNIA. BARRAGAN,,0,1399
05041,211 BIS,,9100,9299
05044,22 DE ABRIL,,8900,8999
05043,270 BIS,,450,549
05042,272 BIS,,450,549
02650,3-LA TRINIDAD,,400,849
04284,433 BIS,,600,2999
02720,4 - CNIA. BARRAGAN,,0,1999
03346,4 - GLORIA DE LA PELEGRINA,,500,899
04765,67 - NUEVO GOLF,,3800,3899
03347,6 - GLORIA DE LA PELEGRINA,,500,899
02682,7 - GLORIA DE LA PELEGRINA,,0,1199
02648,7-LA TRINIDAD,,400,849
04740,83 - LOMAS DEL GOLF,,4900,5299
02681,9 - GLORIA DE LA PELEGRINA,,0,599
02647,9-LA TRINIDAD,,400,2699
04541,ACACIAS,,2100,2349
04795,ACCESO A CIRC 2 PARC 344B Y 345B,,0,1099
04796,ACCESO A CIRC 2 PARC 361H,,0,1599
02704,ACCESO A CIRC 2 PARC 409,,0,2649
05098,ACCESO A ESCOLLERA NORTE,,0,1199
03320,ACCESO PRINCIPAL A CIRC 3 PARCS 37,,0,999
00510,ADOLFO E DAVILA,,1300,1399
03002,ADRIANA,,0,199
02051,AGUA BLANCA,,3100,3499
02218,AGUATERO,,1100,1399
00729,AGUSTIN MAGALDI,,0,999
00882,AGUSTIN RODRIGUEZ,,700,1299
02350,ALBERTO DEL SOLAR,,11900,12399
02300,ALEJANDRO VOLTA,,3700,4459
02272,ALFREDO L. PALACIOS,,3400,5499
02344,ALFREDO MARTINEZ BAYA,,2100,2199
02279,ALGEL VICENTE PEÑALOZA,,3700,3899
03004,ALICIA,,0,299
00333,ALMONACID VICENTE,,7900,8099
04693,CALLE 14 B,ESTACION CHAPADMALAL,300,399
03122,SARA,,0,99
00400,AMBROSIO BESTOSO,,0,3199
00347,AMEGHINO,,200,599
00486,AMERICO RAUL CANOSA,,0,1099
03005,ANALIA,,0,99
04100,ANDRES IGNACIO CORSINI,,2950,9899
03006,ANGEL,,0,699
03007,ANGELA,,0,199
03220,CALLE 9,LA GLORIA DE LA PEREGRINA,50,699
04485,CALLE 9,EL MARQUESADO,0,999
02580,CALLE 9,PARQUE EL CASAL,0,399
03277,CALLE 9,LA GERMANA,0,1699
04670,CALLE 9,BATAN,2600,3399
04529,CALLE 91,SAN EDUARDO DEL MAR,500,999
04573,CALLE 91,NUEVO GOLF,4700,4899
04530,CALLE 93,SAN EDUARDO DEL MAR,200,999
04706,CALLE 94,PARQUE HERMOSO Y VALLE HERMOSO,8200,9599
04531,CALLE 95,SAN EDUARDO DEL MAR,200,2449
04532,CALLE 97,SAN EDUARDO DEL MAR,200,2549
04533,CALLE 99,SAN EDUARDO DEL MAR,200,2549
02555,CALLE 9 B,PARQUE CAMET,0,179
03245,CALLE 9 B,LA GLORIA DE LA PEREGRINA,1000,1099
02568,CALLE 9 C,PARQUE CAMET,7600,8099
03304,CALLE 9 -  COSTA ALEGRE,LA GLORIA DE LA PEREGRINA,700,1199
02153,CAMET FLORENCIO,,1100,1399
02154,CAMET JUAN PEDRO,,1100,1299
04710,CAMINO IV ENTRE PARC 72 C Y 73 B,,0,1299
00441,CAMINO VIEJO A MIRAMAR,,3200,6899
02220,CAMPESINOS,,1100,1399
04761,CAMPO FLOR,,4700,4899
00442,CANADA,,0,3199
04109,CANAI QUEN,,400,1499
02099,SCAGLIA LORENZO,,5400,8199
04357,CANAI QUEN,PLAYA LOS LOBOS,0,7399
00443,CANDELARIA LUIS,,0,2199
04780,CANGAPOL-BQ.P.R,,4800,4999
02739,Cannes,,5500,5699
04144,CARDENAL,,250,1399
03016,CARLOS,,0,199
05051,ARQ.CEDRON,,1900,1999
02356,CARLOS BERRA,,2100,2199
00492,CARLOS DE CHAPEAUROUGE INGENIERO,,0,5799
02210,CARLOS EDUARDO KRAUSE CAPITAN,,1900,1999
00603,CARLOS GARDEL,,0,1899
00518,CARLOS M. DELLA PAOLERA INGENIERO,,0,2699
02252,CARLOS MELGA,,5400,5899
02266,CARLOS MUJICA PADRE,,4200,4299
00820,CARLOS PELLEGRINI,,2400,5099
02441,Carlos Pigozi,,0,1899
02317,CARLOS SAAVEDRA LAMAS,,3100,3899
00948,CARLOS TEJEDOR,,0,3799
00694,CARMEN DE LAS FLORES,,0,1899
04168,CAROYAS,,1200,2099
00450,CASEROS,,4000,5799
02432,Catani,,0,199
04096,CATULO CASTILLO,,2400,2699
00984,CASILDO VILLAR,,200,6998
02061,SCIOCCO DOMINGO,,0,5849
02347,SEBASTIAN GARAU,,1800,2299
02224,SEMBRADOR,,1140,1299
05060,SICILIA BIS,,7100,7499
00452,CASTELLI JUAN JOSE,,0,9799
00507,CATALINA DAPROTIS,,0,8199
00455,CATALUÑA,,0,8999
00457,CATAMARCA,,600,4599
04672,CALLE 13 B,ESTACION CHAPADMALAL,100,2699
04672,CALLE 13 B,,100,2699
02563,CALLE 14,DOS DE ABRIL,0,1799
04007,CATRIEL CIRPRIANO,,6200,10899
04192,CAUPOLICAN,,3800,4999
00879,CAYETANO RODRIGUEZ,,2900,4799
03018,CECILIA,,0,1999
02085,CEDRO AZUL,,2900,7399
04540,CEDROS,,2100,2299
00778,CEFERINO NAMUNCURA,,0,8599
04094,CELEDONIO FLORES,,2000,3349
02307,CELESTINO GALDOS,,4000,4399
00991,CELESTINO VIDAL CORONEL,,1100,3999
02712,CNO.A LOS PATOS - EL COYUNCO B,LA PEREGRINA,5800,9699
02713,CNO. CIRC 2 ENTRE PAR 388AA Y 390,,0,2599
02688,CNO. CIRC 2 ENTRE PAR 894D Y 873B,,0,599
02697,CNO. CIRC 2 ENTRE PAR 898A Y 891D,,0,2299
02700,CNO. CIRC 2 ENTRE PAR 923 Y 914,,0,1199
02703,CNO. CIRC 2 ENTRE PAR 949 Y 938,,0,999
03344,SIERRA DE LOS DIFUNTOS,,600,999
00460,CERRITO,,0,6099
02375,CERRO ACONCAGUA,,6600,7799
03336,CNO. CIRC 3J ENTRE FRAC 3 Y 4,,0,499
03338,CNO. CIRC 3J ENTRE FRAC 5 Y 6,,300,599
03342,CNO. CIRC 3M ENTRE FRAC 1-2 Y 5-6,,0,1199
03340,CNO. CIRC 3M ENTRE FRAC 1-5 Y 2-6,,0,1599
02667,CNO.CNIA BARRAGAN-PJE HERMANAS,,0,12999
